real_time_12h,elapsed_hms,blink_count
01:43:01 PM,0:00:07,1
01:43:12 PM,0:00:19,2
01:43:14 PM,0:00:20,3
01:43:20 PM,0:00:27,4
01:43:25 PM,0:00:31,5
01:43:26 PM,0:00:32,6
01:43:36 PM,0:00:43,7
01:43:40 PM,0:00:47,8
01:43:46 PM,0:00:52,9
01:43:57 PM,0:01:03,10
