real_time_12h,elapsed_hms,blink_count
05:15:38 PM,0:00:03,1
05:15:39 PM,0:00:04,2
05:15:45 PM,0:00:09,3
05:15:47 PM,0:00:11,5
05:15:49 PM,0:00:14,6
