real_time_12h,elapsed_hms,blink_count
05:03:08 PM,0:00:02,1
05:03:20 PM,0:00:15,2
05:03:22 PM,0:00:16,3
05:03:22 PM,0:00:17,4
05:03:42 PM,0:00:36,5
